target_name	acc	target_len	query_name	acc_2	query_len	full_evalue	full_score	full_bias	dom_num	of	dom_c-Evalue	dom_i-Evalue	dom_score	dom_bias	hmm_from	hmm_to	ali_from	ali_to	env_from	env_to	acc3	file
DUF4406	PF14359.6	91	LCCNNHJK_00023	-	99	1.1999999999999998e-33	115.4	0.0	1	1	7.6e-38	1.4000000000000001e-33	115.2	0.0	1	90	3	91	3	92	0.98	AP014856_2615578-2616414.tsv
VRR_NUC	PF08774.11	108	LCCNNHJK_00024	-	93	0.00011	22.3	0.0	1	1	6.7e-09	0.00012	22.1	0.0	54	105	33	81	4	84	0.87	AP014856_2615578-2616414.tsv
BstA	-	285	LCCNNHJK_00025	-	308	2.699999999999999e-105	351.4	0.0	1	1	1.8999999999999998e-109	3.3e-105	351.2	0.0	3	283	14	298	13	300	0.95	AP014856_2615578-2616414.tsv
SNF2_N	PF00176.23	350	LCCNNHJK_00026	-	464	2e-08	33.3	0.0	1	1	7.0999999999999984e-12	3.2e-08	32.7	0.0	64	301	30	265	18	291	0.69	AP014856_2615578-2616414.tsv
HTH_17	PF12728.7	51	LCCNNHJK_00027	-	66	2.1e-05	24.6	0.1	1	1	1e-08	4.5e-05	23.5	0.1	1	51	8	63	8	63	0.84	AP014856_2615578-2616414.tsv
Phage_integrase	PF00589.22	172	LCCNNHJK_00028	-	465	2.5e-06	27.4	0.0	1	2	0.39	7000.0	-3.4	0.0	74	88	170	184	148	195	0.73	AP014856_2615578-2616414.tsv
Fer4_7	PF12838.7	52	LCCNNHJK_00029	-	86	7.7e-07	29.6	12.2	1	1	1e-09	1.3e-06	28.8	12.2	1	49	8	55	8	58	0.88	AP014856_2615578-2616414.tsv
ACPS	PF01648.20	114	LCCNNHJK_00030	-	126	4.3e-24	84.8	0.0	1	1	5.400000000000001e-28	4.8e-24	84.7	0.0	1	113	5	121	5	122	0.96	AP014856_2615578-2616414.tsv
PdxJ	PF03740.13	234	LCCNNHJK_00031	-	243	1.3999999999999992e-108	361.4	4.5	1	1	1.7999999999999994e-112	1.5999999999999994e-108	361.2	4.5	2	234	6	238	5	238	0.99	AP014856_2615578-2616414.tsv
RecO_C	PF02565.15	157	LCCNNHJK_00032	-	243	5e-24	84.9	0.2	1	1	1.7e-27	1.5e-23	83.3	0.2	4	157	84	227	81	227	0.82	AP014856_2615578-2616414.tsv
MMR_HSR1	PF01926.23	114	LCCNNHJK_00033	-	301	8.300000000000001e-24	83.9	0.1	1	1	1.5e-26	1.6999999999999994e-23	82.9	0.1	2	114	11	125	10	125	0.84	AP014856_2615578-2616414.tsv
Ribonucleas_3_3	PF14622.6	128	LCCNNHJK_00034	-	226	7.699999999999998e-34	116.6	0.0	1	1	2.5e-37	1.1e-33	116.1	0.0	2	125	20	141	19	144	0.95	AP014856_2615578-2616414.tsv
Peptidase_S24	PF00717.23	70	LCCNNHJK_00035	-	324	5.7e-21	74.2	0.1	1	1	1.3999999999999999e-24	1.2e-20	73.2	0.1	1	65	86	161	86	169	0.93	AP014856_2615578-2616414.tsv
GTP_EFTU	PF00009.27	194	LCCNNHJK_00036	-	599	4.3e-53	179.8	0.7	1	2	3.6999999999999993e-56	6.6e-53	179.1	0.1	1	193	2	181	2	182	0.95	AP014856_2615578-2616414.tsv
RseC_MucC	PF04246.12	130	LCCNNHJK_00037	-	159	2.3999999999999997e-33	114.8	0.1	1	1	3.1e-37	2.8000000000000002e-33	114.7	0.1	1	129	8	139	8	140	0.97	AP014856_2615578-2616414.tsv
MucB_RseB	PF03888.14	178	LCCNNHJK_00038	-	318	1.6e-61	207.0	0.0	1	1	3.4e-65	2e-61	206.6	0.0	3	172	28	197	26	210	0.95	AP014856_2615578-2616414.tsv
RseA_N	PF03872.13	87	LCCNNHJK_00039	-	216	1.1e-35	121.9	0.5	1	2	1.9e-39	1.1e-35	121.9	0.5	1	87	1	87	1	87	0.99	AP014856_2615578-2616414.tsv
Sigma70_r4_2	PF08281.12	54	LCCNNHJK_00040	-	191	1.8e-19	69.2	0.2	1	1	1.6e-22	4.7999999999999995e-19	67.8	0.2	2	53	129	180	122	181	0.95	AP014856_2615578-2616414.tsv
FAD_binding_2	PF00890.24	417	LCCNNHJK_00041	-	540	2.2999999999999996e-103	346.5	1.3	1	1	1.9999999999999996e-106	2.6999999999999996e-103	346.3	1.3	1	417	10	392	10	392	0.95	AP014856_2615578-2616414.tsv
MTS	PF05175.14	169	LCCNNHJK_00042	-	245	1.9e-13	50.3	0.0	1	1	8.800000000000003e-16	6.6e-13	48.6	0.0	33	112	46	130	31	183	0.75	AP014856_2615578-2616414.tsv
DEAD	PF00270.29	176	LCCNNHJK_00043	-	444	3.6e-47	160.4	0.0	1	2	5.7e-50	1.7e-46	158.2	0.0	1	174	28	197	28	199	0.95	AP014856_2615578-2616414.tsv
LysR_substrate	PF03466.20	209	LCCNNHJK_00044	-	293	1.1999999999999999e-42	145.7	0.1	1	1	1.7e-46	1.4999999999999995e-42	145.3	0.1	2	206	86	288	85	290	0.97	AP014856_2615578-2616414.tsv
LysE	PF01810.18	193	LCCNNHJK_00045	-	195	3.8e-14	52.6	16.0	1	1	2.5e-18	4.5e-14	52.4	16.0	2	190	15	194	14	195	0.81	AP014856_2615578-2616414.tsv
Gly_radical	PF01228.21	106	LCCNNHJK_00046	-	61	6.6e-21	74.8	0.2	1	2	1.8999999999999998e-24	1.7e-20	73.5	0.0	66	106	2	42	1	42	0.97	AP014856_2615578-2616414.tsv
Phage_Mu_F	PF04233.14	112	JOFNNPPA_00002	-	145	1.6e-16	61.0	0.0	1	1	1.1e-20	2e-16	60.7	0.0	2	109	25	131	24	134	0.88	AP010958_3182178-3183047.tsv
DUF1073	PF06381.11	357	JOFNNPPA_00003	-	488	5.9e-112	374.0	0.0	1	1	4.299999999999998e-116	7.799999999999996e-112	373.6	0.0	6	356	54	403	50	404	0.98	AP010958_3182178-3183047.tsv
Terminase_2	PF03592.16	140	JOFNNPPA_00005	-	190	6.7e-31	107.6	0.0	1	1	4.7e-35	8.499999999999999e-31	107.3	0.0	2	138	6	161	5	163	0.94	AP010958_3182178-3183047.tsv
DUF4168	PF13767.6	90	JOFNNPPA_00006	-	174	0.08199999999999999	14.1	0.4	1	2	1.5e-05	0.26	12.5	0.1	46	81	34	70	22	76	0.77	AP010958_3182178-3183047.tsv
Phage_lysozyme	PF00959.19	109	JOFNNPPA_00007	-	158	2.2e-22	79.6	0.0	1	1	1.7e-26	3e-22	79.1	0.0	1	106	33	138	33	140	0.97	AP010958_3182178-3183047.tsv
Phage_holin_3_1	PF05106.12	99	JOFNNPPA_00008	-	113	4.2e-28	97.7	0.2	1	1	5.2e-32	4.7000000000000005e-28	97.5	0.2	2	99	5	107	4	107	0.97	AP010958_3182178-3183047.tsv
Phage_antitermQ	PF06530.12	118	JOFNNPPA_00010	-	140	9.5e-44	148.1	0.0	1	1	2.5e-47	1.1e-43	147.8	0.0	1	118	1	118	1	118	0.99	AP010958_3182178-3183047.tsv
VirE	PF05272.11	198	JOFNNPPA_00011	-	728	7.299999999999997e-72	241.3	0.0	1	1	6.2e-76	1.0999999999999996e-71	240.7	0.0	1	197	426	618	426	619	0.97	AP010958_3182178-3183047.tsv
HTH_3	PF01381.22	55	JOFNNPPA_00012	-	66	1.9e-09	37.4	0.0	1	1	2.7e-12	2.5e-09	37.1	0.0	8	51	16	61	11	64	0.93	AP010958_3182178-3183047.tsv
Peptidase_S24	PF00717.23	70	JOFNNPPA_00013	-	224	2.7e-12	46.5	0.1	1	1	2.2e-15	4.4e-12	45.8	0.1	4	69	139	204	136	205	0.91	AP010958_3182178-3183047.tsv
DUF812	PF05667.11	595	JOFNNPPA_00014	-	174	0.0058	15.6	0.8	1	1	1.9e-06	0.0069	15.3	0.8	371	424	29	85	2	94	0.86	AP010958_3182178-3183047.tsv
DUF2800	PF10926.8	363	JOFNNPPA_00017	-	433	9.599999999999997e-121	403.4	0.0	1	1	1.1999999999999991e-124	1.0999999999999997e-120	403.3	0.0	1	363	5	410	5	410	0.94	AP010958_3182178-3183047.tsv
DUF2815	PF10991.8	173	JOFNNPPA_00018	-	182	5.799999999999998e-48	163.1	0.0	1	1	3.7e-52	6.599999999999999e-48	162.9	0.0	1	171	2	173	2	175	0.94	AP010958_3182178-3183047.tsv
Herpes_LMP1	PF05297.11	386	JOFNNPPA_00019	-	209	7.1	5.7	9.7	1	2	0.00013000000000000002	1.1	8.3	0.2	109	129	17	37	4	61	0.78	AP010958_3182178-3183047.tsv
DNA_pol_A	PF00476.20	376	JOFNNPPA_00020	-	687	7.9e-14	51.5	0.0	1	2	4.5e-15	2.7e-11	43.2	0.0	71	220	276	457	210	505	0.79	AP010958_3182178-3183047.tsv
PerC	PF06069.11	90	JOFNNPPA_00021	-	71	0.00081	19.6	3.2	1	1	1.2e-07	0.001	19.2	3.2	5	56	16	67	11	70	0.91	AP010958_3182178-3183047.tsv
DUF4406	PF14359.6	91	JOFNNPPA_00022	-	99	2.6e-33	114.3	0.0	1	1	1.6999999999999999e-37	2.9999999999999998e-33	114.1	0.0	1	90	3	91	3	92	0.98	AP010958_3182178-3183047.tsv
VRR_NUC	PF08774.11	108	JOFNNPPA_00023	-	97	0.0037	17.3	0.0	1	1	2.4e-07	0.0042	17.1	0.0	52	107	31	83	4	84	0.88	AP010958_3182178-3183047.tsv
BstA	-	285	JOFNNPPA_00025	-	309	5.099999999999998e-102	340.7	0.0	1	1	6.399999999999997e-106	5.7999999999999966e-102	340.5	0.0	1	284	12	299	12	300	0.96	AP010958_3182178-3183047.tsv
SNF2_N	PF00176.23	350	JOFNNPPA_00026	-	464	2.1e-08	33.3	0.0	1	1	5.5e-12	3.3e-08	32.7	0.0	64	232	30	186	24	289	0.71	AP010958_3182178-3183047.tsv
HTH_17	PF12728.7	51	JOFNNPPA_00027	-	66	2.1e-05	24.6	0.1	1	1	1.3e-08	4.5e-05	23.5	0.1	1	51	8	63	8	63	0.84	AP010958_3182178-3183047.tsv
Phage_integrase	PF00589.22	172	JOFNNPPA_00028	-	465	6.5e-06	26.1	0.0	1	2	0.39	7000.0	-3.4	0.0	74	88	170	184	148	195	0.73	AP010958_3182178-3183047.tsv
Fer4_2	PF12797.7	22	JOFNNPPA_00029	-	61	0.00019	21.4	1.7	1	1	9.2e-08	0.00033	20.6	1.7	3	21	6	30	3	31	0.89	AP010958_3182178-3183047.tsv
ACPS	PF01648.20	114	JOFNNPPA_00030	-	126	5.3e-24	84.5	0.0	1	1	1e-27	5.9999999999999984e-24	84.4	0.0	1	113	5	121	5	122	0.96	AP010958_3182178-3183047.tsv
PdxJ	PF03740.13	234	JOFNNPPA_00031	-	243	3.9999999999999995e-109	363.2	4.7	1	1	4.9999999999999974e-113	4.5e-109	363.0	4.7	2	234	6	238	5	238	0.99	AP010958_3182178-3183047.tsv
RecO_C	PF02565.15	157	JOFNNPPA_00032	-	242	3.4e-24	85.4	0.2	1	1	1.1e-27	9.9e-24	83.9	0.2	4	157	83	226	80	226	0.81	AP010958_3182178-3183047.tsv
MMR_HSR1	PF01926.23	114	JOFNNPPA_00033	-	301	7.299999999999998e-24	84.1	0.1	1	1	1.3999999999999998e-26	1.5e-23	83.1	0.1	2	114	11	125	10	125	0.83	AP010958_3182178-3183047.tsv
Ribonucleas_3_3	PF14622.6	128	JOFNNPPA_00034	-	226	7.699999999999998e-34	116.6	0.0	1	1	2.5e-37	1.1e-33	116.1	0.0	2	125	20	141	19	144	0.95	AP010958_3182178-3183047.tsv
Peptidase_S24	PF00717.23	70	JOFNNPPA_00035	-	324	8.5e-21	73.7	0.1	1	1	1.8999999999999998e-24	1.7e-20	72.7	0.1	1	63	86	159	86	169	0.94	AP010958_3182178-3183047.tsv
GTP_EFTU	PF00009.27	194	JOFNNPPA_00036	-	599	3.7999999999999993e-53	179.9	0.7	1	2	3.6999999999999993e-56	6.6e-53	179.1	0.1	1	193	2	181	2	182	0.95	AP010958_3182178-3183047.tsv
RseC_MucC	PF04246.12	130	JOFNNPPA_00037	-	159	2.2999999999999998e-32	111.7	0.4	1	1	2.9999999999999995e-36	2.7e-32	111.5	0.4	1	129	8	139	8	140	0.97	AP010958_3182178-3183047.tsv
MucB_RseB	PF03888.14	178	JOFNNPPA_00038	-	318	4.1e-61	205.6	0.0	1	1	8.699999999999997e-65	5.2e-61	205.3	0.0	3	172	28	197	26	210	0.95	AP010958_3182178-3183047.tsv
RseA_N	PF03872.13	87	JOFNNPPA_00039	-	216	8.399999999999997e-37	125.5	0.8	1	2	1.4e-40	8.399999999999997e-37	125.5	0.8	1	87	1	87	1	87	0.99	AP010958_3182178-3183047.tsv
Sigma70_r4_2	PF08281.12	54	JOFNNPPA_00040	-	191	1.8e-19	69.2	0.2	1	1	1.6e-22	4.7999999999999995e-19	67.8	0.2	2	53	129	180	122	181	0.95	AP010958_3182178-3183047.tsv
FAD_binding_2	PF00890.24	417	JOFNNPPA_00041	-	540	1.3999999999999992e-106	357.1	1.7	1	1	1.2999999999999992e-109	1.5999999999999993e-106	356.9	1.7	1	417	10	392	10	392	0.95	AP010958_3182178-3183047.tsv
MTS	PF05175.14	169	JOFNNPPA_00042	-	245	7.4e-13	48.4	0.0	1	1	2e-15	1.5e-12	47.4	0.0	33	112	46	130	33	178	0.84	AP010958_3182178-3183047.tsv
DEAD	PF00270.29	176	JOFNNPPA_00043	-	444	3.6e-47	160.4	0.0	1	2	5.7e-50	1.7e-46	158.2	0.0	1	174	28	197	28	199	0.95	AP010958_3182178-3183047.tsv
Transposase_20	PF02371.16	87	JOFNNPPA_00044	-	326	3.3e-26	91.4	0.5	1	1	1.7e-29	6.200000000000001e-26	90.5	0.5	2	85	196	280	195	282	0.97	AP010958_3182178-3183047.tsv
LysR_substrate	PF03466.20	209	JOFNNPPA_00045	-	189	8.6e-39	133.1	0.1	1	1	5.2999999999999995e-43	9.599999999999998e-39	132.9	0.1	21	208	1	186	1	187	0.98	AP010958_3182178-3183047.tsv
SBP_bac_11	PF13531.6	230	FGJEPANL_00001	-	186	1.5e-18	67.4	0.0	1	1	9.1e-23	1.6e-18	67.3	0.0	53	229	2	182	1	183	0.94	CP034944_1493720-1494622.tsv
Ser_hydrolase	PF06821.13	171	FGJEPANL_00002	-	190	3.4999999999999997e-25	88.8	0.0	1	1	1.6999999999999996e-28	3.9e-25	88.7	0.0	1	169	6	183	6	185	0.9	CP034944_1493720-1494622.tsv
DUF3088	PF11287.8	112	FGJEPANL_00003	-	102	3.7e-30	104.0	0.0	1	1	8.599999999999998e-34	5.1e-30	103.5	0.0	1	78	2	79	2	99	0.94	CP034944_1493720-1494622.tsv
DUF465	PF04325.13	47	FGJEPANL_00005	-	73	1.8999999999999998e-16	59.8	5.8	1	2	2.9	8600.0	-3.1	0.0	7	11	4	8	2	12	0.65	CP034944_1493720-1494622.tsv
Acetyltransf_3	PF13302.7	138	FGJEPANL_00006	-	162	0.023	15.4	0.0	1	1	5.8e-06	0.035	14.8	0.0	85	138	96	144	2	144	0.75	CP034944_1493720-1494622.tsv
DUF1508	PF07411.12	48	FGJEPANL_00007	-	61	6.6e-22	77.1	0.0	1	1	4.3e-26	7.8e-22	76.9	0.0	6	48	17	59	12	59	0.96	CP034944_1493720-1494622.tsv
TauE	PF01925.19	236	FGJEPANL_00008	-	291	2.8999999999999998e-36	125.3	39.4	1	1	2.3e-40	4.2e-36	124.8	39.4	1	235	28	286	27	288	0.91	CP034944_1493720-1494622.tsv
CbtA	PF09490.10	243	FGJEPANL_00010	-	72	0.027000000000000003	14.2	2.6	1	1	1.6e-06	0.029	14.2	2.6	7	59	4	59	3	72	0.77	CP034944_1493720-1494622.tsv
Cauli_DNA-bind	PF03310.13	121	FGJEPANL_00011	-	56	0.041	13.9	0.2	1	1	5.400000000000002e-06	0.049	13.7	0.2	34	89	3	55	1	56	0.83	CP034944_1493720-1494622.tsv
Peptidase_M24	PF00557.24	209	FGJEPANL_00012	-	396	3.2e-18	66.2	0.0	1	1	3.2e-22	5.8e-18	65.4	0.0	2	192	155	363	154	388	0.76	CP034944_1493720-1494622.tsv
TetR_C_32	PF09209.11	125	FGJEPANL_00013	-	224	3.4e-15	56.1	0.1	1	1	1.3e-18	5.7e-15	55.4	0.1	7	116	106	213	97	220	0.83	CP034944_1493720-1494622.tsv
Lipoprotein_9	PF03180.14	236	FGJEPANL_00014	-	271	4.3e-88	294.4	0.3	1	1	5.4e-92	4.899999999999998e-88	294.2	0.3	1	236	33	271	33	271	1.0	CP034944_1493720-1494622.tsv
Peptidase_S24	PF00717.23	70	FGJEPANL_00017	-	235	4e-12	45.9	0.0	1	1	3.5e-15	5.6e-12	45.4	0.0	1	69	148	220	148	221	0.95	CP034944_1493720-1494622.tsv
Phage_holin_2_3	PF16080.5	56	FGJEPANL_00019	-	64	2.3999999999999998e-28	97.7	0.4	1	1	5.8e-32	2.6000000000000004e-28	97.5	0.4	1	54	5	58	5	60	0.97	CP034944_1493720-1494622.tsv
Phage_lysozyme	PF00959.19	109	FGJEPANL_00020	-	158	4.3e-23	81.8	0.0	1	1	3e-27	5.4e-23	81.5	0.0	2	108	43	148	42	149	0.98	CP034944_1493720-1494622.tsv
Phage_AlpA	PF05930.12	51	FGJEPANL_00023	-	62	0.071	13.0	0.1	1	1	4.2e-06	0.075	12.9	0.1	20	39	26	45	9	55	0.85	CP034944_1493720-1494622.tsv
Dam	PF05869.11	171	FGJEPANL_00025	-	179	6.2e-76	253.7	0.0	1	1	7.799999999999997e-80	6.999999999999997e-76	253.5	0.0	2	170	8	175	7	176	0.99	CP034944_1493720-1494622.tsv
DUF2591	PF10765.9	116	FGJEPANL_00026	-	112	1.8e-18	66.9	0.0	1	1	1.2e-22	2.1e-18	66.7	0.0	1	116	3	106	3	106	0.9	CP034944_1493720-1494622.tsv
ASCH	PF04266.14	107	FGJEPANL_00031	-	170	0.00015	22.3	0.1	1	1	2.1e-08	0.00038	21.0	0.1	2	74	6	112	5	155	0.86	CP034944_1493720-1494622.tsv
RecT	PF03837.14	199	FGJEPANL_00033	-	266	2.899999999999999e-55	186.9	0.0	1	1	2.0999999999999995e-59	3.8e-55	186.5	0.0	2	190	53	247	52	255	0.91	CP034944_1493720-1494622.tsv
DUF3799	PF12684.7	234	FGJEPANL_00034	-	272	3.1999999999999997e-31	108.9	0.0	1	1	4.6e-35	4.1e-31	108.5	0.0	1	223	21	256	21	258	0.93	CP034944_1493720-1494622.tsv
VPR	PF00522.18	96	FGJEPANL_00035	-	76	0.11	12.5	0.1	1	1	6.6e-06	0.12	12.4	0.1	9	53	11	55	3	76	0.73	CP034944_1493720-1494622.tsv
BstA	-	285	FGJEPANL_00040	-	302	1.9999999999999994e-114	381.4	0.0	1	1	1.2999999999999993e-118	2.3e-114	381.2	0.0	1	284	7	291	7	292	0.98	CP034944_1493720-1494622.tsv
Peptidase_S24	PF00717.23	70	FGJEPANL_00041	-	236	2.7000000000000005e-14	52.9	0.0	1	1	2e-17	4e-14	52.3	0.0	1	69	145	218	145	219	0.96	CP034944_1493720-1494622.tsv
Cro	PF09048.10	59	FGJEPANL_00042	-	63	4.799999999999999e-33	113.0	0.2	1	1	1.1999999999999997e-36	5.3e-33	112.9	0.2	1	59	1	59	1	59	1.0	CP034944_1493720-1494622.tsv
HTH_Tnp_ISL3	PF13542.6	52	FGJEPANL_00043	-	108	0.0035	16.7	0.6	1	1	1.2e-06	0.0056	16.1	0.6	21	46	22	47	12	49	0.87	CP034944_1493720-1494622.tsv
Phage_rep_O	PF04492.13	95	FGJEPANL_00045	-	362	5.099999999999998e-34	116.7	0.7	1	1	1.2e-37	1.1e-33	115.7	0.7	2	95	21	114	20	114	0.99	CP034944_1493720-1494622.tsv
DnaB_C	PF03796.15	255	FGJEPANL_00046	-	458	1.1999999999999998e-78	263.9	0.0	1	1	1.1999999999999993e-81	2.0999999999999996e-78	263.2	0.0	4	247	186	433	184	438	0.95	CP034944_1493720-1494622.tsv
DUF551	PF04448.12	69	FGJEPANL_00049	-	76	0.00022	22.1	0.1	1	1	2.7e-08	0.00049	21.0	0.1	1	69	2	75	2	75	0.69	CP034944_1493720-1494622.tsv
Lar_restr_allev	PF14354.6	62	FGJEPANL_00050	-	60	0.017	15.5	5.2	1	1	2.1e-06	0.037000000000000005	14.4	5.2	2	61	5	57	4	58	0.82	CP034944_1493720-1494622.tsv
NinB	PF05772.12	131	FGJEPANL_00052	-	147	3.3e-10	39.9	0.0	1	1	2.5e-14	4.4e-10	39.5	0.0	6	125	5	125	2	130	0.85	CP034944_1493720-1494622.tsv
RusA	PF05866.11	124	FGJEPANL_00054	-	254	1.1e-20	74.4	0.0	1	2	1.0	18000.0	-3.8	0.0	100	109	70	79	66	87	0.77	CP034944_1493720-1494622.tsv
Antiterm	PF03589.13	87	FGJEPANL_00055	-	273	1.3999999999999996e-52	176.0	0.1	1	2	3.3999999999999996e-28	5.1e-25	87.6	0.1	1	87	23	109	23	109	0.98	CP034944_1493720-1494622.tsv
ApoC-I	PF04691.12	61	FGJEPANL_00056	-	170	0.079	12.9	1.3	1	3	0.00025	4.4	7.3	0.1	33	48	5	20	3	25	0.84	CP034944_1493720-1494622.tsv
Phage_holin_3_1	PF05106.12	99	FGJEPANL_00058	-	104	3.8e-29	101.0	0.1	1	1	4.9999999999999996e-33	4.4e-29	100.8	0.1	2	93	5	96	4	100	0.98	CP034944_1493720-1494622.tsv
CHAP	PF05257.16	83	FGJEPANL_00059	-	160	1.8e-06	28.4	0.0	1	1	6.900000000000001e-10	3.1e-06	27.7	0.0	5	83	45	117	41	117	0.74	CP034944_1493720-1494622.tsv
Phage_lysis	PF03245.13	126	FGJEPANL_00060	-	149	8.1e-28	97.1	0.6	1	1	2.1e-31	9.599999999999999e-28	96.8	0.6	18	126	42	148	28	148	0.86	CP034944_1493720-1494622.tsv
Phage_gp49_66	PF13876.6	81	FGJEPANL_00062	-	135	1.2e-37	128.0	0.0	1	2	0.9	8100.0	-2.8	0.0	2	13	2	13	1	17	0.76	CP034944_1493720-1494622.tsv
DUF2560	PF10834.8	72	FGJEPANL_00064	-	74	1.9e-39	133.7	5.2	1	1	3.3999999999999997e-43	2.1e-39	133.6	5.2	1	72	2	73	2	73	0.99	CP034944_1493720-1494622.tsv
HTH_Tnp_IS630	PF01710.16	119	FGJEPANL_00065	-	146	0.026	14.6	0.1	1	1	5.700000000000001e-06	0.034	14.2	0.0	32	77	43	87	21	120	0.86	CP034944_1493720-1494622.tsv
Terminase_6C	PF17289.2	155	FGJEPANL_00066	-	478	2.1000000000000003e-22	79.9	0.1	1	1	5.499999999999998e-26	3.3e-22	79.2	0.1	2	154	299	450	298	451	0.95	CP034944_1493720-1494622.tsv
P22_portal	PF16510.5	668	FGJEPANL_00067	-	695	0.0	1241.4	18.3	1	1	0.0	0.0	1241.2	18.3	1	668	14	681	14	681	1.0	CP034944_1493720-1494622.tsv
Phage-scaffold	PF09306.10	303	FGJEPANL_00068	-	304	1.199999999999999e-143	478.0	15.2	1	1	1.4999999999999987e-147	1.299999999999999e-143	477.9	15.2	1	303	1	303	1	303	1.0	CP034944_1493720-1494622.tsv
P22_CoatProtein	PF11651.8	417	FGJEPANL_00069	-	427	6.599999999999996e-150	499.3	4.5	1	1	4.2e-154	7.399999999999996e-150	499.2	4.5	1	417	1	425	1	425	0.99	CP034944_1493720-1494622.tsv
Trypan_PARP	PF05887.11	134	FGJEPANL_00070	-	116	2.3e-13	50.3	51.1	1	1	3.4000000000000004e-17	3.1e-13	49.9	51.1	54	115	44	104	32	111	0.62	CP034944_1493720-1494622.tsv
P22_Tail-4	PF11650.8	164	FGJEPANL_00071	-	165	4.699999999999998e-84	280.3	0.0	1	1	3.1e-88	5.599999999999997e-84	280.1	0.0	1	160	1	160	1	163	0.99	CP034944_1493720-1494622.tsv
MCPsignal	PF00015.21	172	OBNOJNBC_00001	-	576	4.9e-50	169.7	17.8	1	3	0.081	97.0	2.7	2.5	110	170	278	338	250	340	0.62	CP022390_448758-449693.tsv
QRPTase_C	PF01729.19	169	OBNOJNBC_00003	-	299	1.4e-57	194.1	1.6	1	1	2.1999999999999997e-61	1.8999999999999996e-57	193.7	1.6	1	169	133	298	133	298	0.99	CP022390_448758-449693.tsv
TctC	PF03401.14	274	OBNOJNBC_00004	-	339	3.9999999999999994e-68	229.4	0.0	1	1	2.6999999999999996e-72	4.799999999999998e-68	229.2	0.0	2	268	62	330	61	336	0.92	CP022390_448758-449693.tsv
GET2	PF08690.10	309	OBNOJNBC_00005	-	114	5.9e-05	22.9	6.5	1	1	3.3e-07	6.2e-05	22.8	6.5	142	200	21	81	2	100	0.68	CP022390_448758-449693.tsv
GntP_permease	PF02447.16	440	OBNOJNBC_00007	-	467	9.6e-09	34.4	18.5	1	1	1.1e-12	9.6e-09	34.4	18.5	5	298	6	316	2	415	0.69	CP022390_448758-449693.tsv
Phage_integrase	PF00589.22	172	OBNOJNBC_00009	-	349	2.3e-30	105.6	0.0	1	1	4.8e-34	4.3e-30	104.7	0.0	2	170	166	324	165	326	0.91	CP022390_448758-449693.tsv
Phe_ZIP	PF08916.11	57	OBNOJNBC_00010	-	75	0.055	14.2	1.8	1	2	0.23	2000.0	-0.5	0.6	6	14	5	13	4	15	0.83	CP022390_448758-449693.tsv
ADSL_C	PF10397.9	73	OBNOJNBC_00011	-	90	0.14	12.7	1.0	1	1	1.1e-05	0.2	12.2	1.0	8	49	9	59	7	90	0.79	CP022390_448758-449693.tsv
UVR	PF02151.19	36	OBNOJNBC_00015	-	315	1.7e-05	24.4	0.5	1	1	2.3e-09	4.2e-05	23.2	0.5	5	28	281	304	281	307	0.96	CP022390_448758-449693.tsv
PAPS_reduct	PF01507.19	174	OBNOJNBC_00017	-	313	5.200000000000001e-28	98.2	0.0	1	1	3e-31	1.8e-27	96.5	0.0	2	174	4	217	3	217	0.8	CP022390_448758-449693.tsv
RdgC	PF04381.12	298	OBNOJNBC_00019	-	307	2.599999999999999e-113	378.2	0.1	1	1	1.599999999999999e-117	2.8999999999999983e-113	378.1	0.1	1	298	1	296	1	296	0.99	CP022390_448758-449693.tsv
MFS_1	PF07690.16	353	OBNOJNBC_00020	-	204	0.011	14.7	0.1	1	1	4.2e-06	0.013	14.5	0.1	125	181	13	69	7	121	0.68	CP022390_448758-449693.tsv
Baseplate	PF16774.5	165	OBNOJNBC_00023	-	73	0.057	13.3	0.0	1	1	3.2e-06	0.057	13.3	0.0	5	52	10	57	1	66	0.83	CP022390_448758-449693.tsv
DUF4041	PF13250.6	56	OBNOJNBC_00024	-	459	8e-23	80.1	4.3	1	2	1.7e-24	3.6999999999999995e-21	74.7	0.6	1	56	166	221	166	221	0.99	CP022390_448758-449693.tsv
BstA	-	285	OBNOJNBC_00026	-	325	4.499999999999998e-98	327.8	0.0	1	1	2.9999999999999984e-102	5.299999999999997e-98	327.5	0.0	9	283	30	306	26	308	0.98	CP022390_448758-449693.tsv
P63C	PF10546.9	93	OBNOJNBC_00027	-	401	8.699999999999999e-20	71.1	0.6	1	2	5.0	18000.0	-3.7	0.0	61	84	85	108	77	111	0.7	CP022390_448758-449693.tsv
Phage_CP76	PF06892.11	157	OBNOJNBC_00032	-	173	0.0013	18.3	0.0	1	1	9.6e-08	0.0017	17.9	0.0	83	139	104	163	68	169	0.8	CP022390_448758-449693.tsv
DUF968	PF06147.11	200	OBNOJNBC_00034	-	173	3.5e-07	30.7	0.1	1	1	2.6e-11	4.6e-07	30.3	0.1	95	180	35	128	4	149	0.68	CP022390_448758-449693.tsv
IstB_IS21	PF01695.17	178	OBNOJNBC_00036	-	242	2.7e-22	79.4	0.0	1	1	3.3000000000000003e-25	3.7000000000000005e-22	78.9	0.0	47	161	101	218	79	223	0.89	CP022390_448758-449693.tsv
